playerID,year,CrushA,CrushTD,CrushY,CrushGP,CrecA,CrecTD,CrecY,CrecGP,CpassA,CpassTD,CpassY,CpassGP
allenrice/2502641,1987,118,6,382,42.0,43.0,5.0,511.0,42.0,1.0,0.0,0.0,14.0
allenrice/2502641,1988,169,7,513,54.0,62.0,6.0,712.0,54.0,1.0,0.0,0.0,14.0
allenrice/2502641,1989,279,13,835,70.0,92.0,6.0,991.0,70.0,1.0,0.0,0.0,14.0
allenrice/2502641,1990,285,13,860,74.0,96.0,6.0,1020.0,74.0,1.0,0.0,0.0,14.0
allenrobinson/2543509,2014,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
allenrobinson/2543509,2015,0,0,0,0.0,48.0,2.0,548.0,10.0,0.0,0.0,0.0,0.0
allenrobinson/2543509,2016,0,0,0,0.0,128.0,16.0,1948.0,26.0,0.0,0.0,0.0,0.0
alonzoharris/2553533,2015,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alonzomayes/2501925,1998,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alonzomayes/2501925,1999,0,0,0,0.0,21.0,0.0,217.0,16.0,0.0,0.0,0.0,0.0
alonzomayes/2501925,2000,0,0,0,0.0,29.0,1.0,299.0,32.0,0.0,0.0,0.0,0.0
alshonjeffery/2533039,2012,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alshonjeffery/2533039,2013,0,0,0,0.0,24.0,3.0,367.0,10.0,0.0,0.0,0.0,0.0
alshonjeffery/2533039,2014,16,0,105,16.0,113.0,10.0,1788.0,26.0,0.0,0.0,0.0,0.0
alshonjeffery/2533039,2015,22,0,138,32.0,198.0,20.0,2921.0,42.0,0.0,0.0,0.0,0.0
alshonjeffery/2533039,2016,22,0,138,32.0,252.0,24.0,3728.0,51.0,0.0,0.0,0.0,0.0
altoon/2503378,1985,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
altoon/2503378,1986,1,0,5,15.0,46.0,3.0,662.0,15.0,0.0,0.0,0.0,0.0
altoon/2503378,1987,3,0,2,31.0,131.0,11.0,1838.0,31.0,0.0,0.0,0.0,0.0
altoon/2503378,1988,3,0,2,31.0,199.0,16.0,2814.0,43.0,0.0,0.0,0.0,0.0
altoon/2503378,1989,4,0,7,46.0,292.0,21.0,3881.0,58.0,0.0,0.0,0.0,0.0
altoon/2503378,1990,4,0,7,46.0,355.0,23.0,4574.0,69.0,0.0,0.0,0.0,0.0
